cmor_var;input_vars;calculation;units;dimensions;axes;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;fpattern;long_name;standard_name
amdry;fld_s30i403;;kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;720;umnsa_spec_;TOTAL COLUMN DRY MASS  RHO GRID;
cl;fld_s00i265;level_to_height(var[0],levs=(0,66));%;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;120;umnsa_cldrad_;AREA CLOUD FRACTION IN EACH LAYER;cloud_area_fraction_in_atmosphere_layer
cli;fld_s00i012;level_to_height(var[0],levs=(0,66));kg kg-1;time model_theta_level_number lat lon;longitude latitude alevel time1;1hrPt;atmos;area: time: point;;AUS2200_A1hr;AUS2200;float32;1543360000;120;umnsa_cldrad_;QCF AFTER TIMESTEP;mass_fraction_of_cloud_ice_in_air
eow;fld_s03i232;;kg m-2 s-1;time_0 lat lon;longitude latitude time;1hr;land;area: time: mean;;AUS2200_A1hr;AUS2200;float32;22048000;120;umnsa_slv_;Evaporation flux from open sea;
rsds;fld_s01i235;;W m-2;time_0 lat lon;longitude latitude time;1hr;atmos;area: time: mean;down;AUS2200_A1hr;AUS2200;float32;22048000;120;umnsa_slv_;TOTAL DOWNWARD SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air
...
# Derived variables with matching version and frequency: Use with caution!;;;;;;;;;;;;;;;;;
hus24;fld_s00i010 fld_s00i408;plevinterp(var[0], var[1], 24);1;time model_theta_level_number lat lon_0;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A1hrPlev;AUS2200;float32;1543360000;120;umnsa_mdl_;SPECIFIC HUMIDITY AFTER TIMESTEP;specific_humidity
prw;fld_s30i404 fld_s30i403 fld_s30i405 fld_s30i406;var[0]-sum_vars(var[1:]);kg m-2;time lat lon;longitude latitude time1;10minPt;atmos;area: time: point;;AUS2200_A10min;AUS2200;float32;22048000;720;umnsa_spec_;TOTAL COLUMN DRY MASS  RHO GRID;
...
# Variables definitions coming from different version;;;;;;;;;;;;;;;;;
ps;fld_s00i409;;Pa;time_1 lat lon;longitude latitude time1;3hrPt;atmos;area: time: point;;CMIP6_E3hrPt;CM2;float32;22048000;40;umnsaa_pvera;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
# Variables with different frequency: Use with caution!;;;;;;;;;;;;;;;;;
ps;fld_s00i409;;Pa;time_1 lat lon;longitude latitude time1;3hrPt;atmos;area: time: point;;CMIP6_E3hrPt;CM2;float32;22048000;40;umnsaa_pvera;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
...
# Variables matched using standard_name: complete mapping or discard!;;;;;;;;;;;;;;;;;
['rsut-AUS2200_A1hr', 'rsutaf-CMIP6_AERmon', 'rsut-CMIP6_Amon', 'rsut-CMIP6_CF3hr', 'rsut-CMIP6_CFday', 'rsut4co2-CMIP6_CFmon', 'rsut-CMIP6_CFsubhr', 'rsut-CMIP6_E1hrClimMon', 'rsut-CMIP6_E3hr', 'rsut-CMIP6_Esubhr'];fld_s01i208;;W m-2;time_4 lat lon;time_4 lat lon;1hrPt;atmos;area: time: point;;;;float32;22048000;120;umnsaa_pvera;OUTGOING SW RAD FLUX (TOA);toa_outgoing_shortwave_flux
...
# Derived variables: Use with caution!;;;;;;;;;;;;;;;;;
prw;fld_s30i404 fld_s30i403 fld_s30i405 fld_s30i406;var[0]-(var[1]+var[2]+var[3]);kg m-2;time lat lon;longitude latitude time;10minPt;atmos;area: time: point;;CMIP6_Amon;CM2;float32;22048000;720;umnsa_spec_;TOTAL COLUMN DRY MASS  RHO GRID;
zg24;fld_s15i101 fld_s00i408;height_gpheight(var[0], pmod=var[1], levnum=24);m;time model_theta_level_number lat lon_0;longitude latitude plev24 time1;1hrPt;atmos;area: time: point;;AUS2200_A6hr;AUS2200;float32;1543360000;120;umnsa_mdl_;PRESSURE AT THETA LEVELS AFTER TS;air_pressure
...
# Variables without mapping;;;;;;;;;;;;;;;;;
fld_s03i051;fld_s03i051;;;time pseudo_level lat lon;time pseudo_level lat lon;10minPt;atmos;area: time: point;;;;float32;110240000;720;umnsa_spec_;COMBINED RESIST. TO EVAP ON TILES;
fld_s03i052;fld_s03i052;;;time pseudo_level lat lon;time pseudo_level lat lon;10minPt;atmos;area: time: point;;;;float32;110240000;720;umnsa_spec_;COEFFS RATIO FOR 1.5M T ON TILES;
...
