cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
deptho;ht;;m;yt_ocean xt_ocean;mon;ocean;area: time: point;;CMIP6_Ofx;CM2;float32;1440;900;ocean_month.nc-;ocean depth on t-cells;sea_floor_depth_below_geoid
pso;patm_t;;Pa;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;applied pressure on T cells;sea_water_pressure_at_sea_water_surface
zos;sea_level;;meter;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;effective sea level (eta_t + patm/(rho0*g)) on T cells;sea_surface_height_above_geoid
zossq;sea_level_sq;;m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;square of effective sea level (eta_t + patm/(rho0*g)) on T cells;square_of_sea_surface_height_above_geoid
masscello;rho_dzt;;(kg/m^3)*m;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;t-cell rho*thickness;sea_water_mass_per_unit_area
thkcello;dht;;m;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;t-cell thickness;cell_thickness
so;salt;;psu;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;Practical Salinity;sea_water_salinity
sos;sss;;psu;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;Practical Salinity;sea_surface_salinity
rho0;pot_rho_0;;kg/m^3;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CM2_Omon;CM2;float32;21600000;36;ocean_month.nc-;potential density referenced to 0 dbar;sea_water_potential_density
agessc;age_global;;yr;time st_ocean yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;21600000;36;ocean_month.nc-;Age (global);sea_water_age_since_surface_contact
mlotst;mld;;m;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;mixed layer depth determined by density criteria;ocean_mixed_layer_thickness_defined_by_sigma_t
mlotstsq;mld_sq;;m^2;time yt_ocean xt_ocean;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;432000;36;ocean_month.nc-;squared mixed layer depth determined by density criteria;square_of_ocean_mixed_layer_thickness_defined_by_sigma_t
omldamax;hblt_max;;m;time yt_ocean xt_ocean;mon;ocean;area: time: max;;CM2_Omon;CM2;float32;432000;36;ocean_month.nc-;T-cell boundary layer depth from KPP;ocean_mixed_layer_thickness_defined_by_mixing_scheme
