cmor_var;input_vars;calculation;units;dimensions;frequency;realm;cell_methods;positive;cmor_table;version;vtype;size;nsteps;filename;long_name;standard_name
theta;fld_s00i004;;K;time model_theta_level_number lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;9400320;12;cw323a.pm;THETA AFTER TIMESTEP;air_potential_temperature
hus;fld_s00i010;level_to_height(var[0]);1;time model_theta_level_number lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;9400320;12;cw323a.pm;SPECIFIC HUMIDITY AFTER TIMESTEP;specific_humidity
ts;fld_s00i024;;K;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;SURFACE TEMPERATURE AFTER TIMESTEP;surface_temperature
siconca;fld_s00i031;;1;time lat lon;mon;seaIce;area: time: mean;;CMIP6_SImon;CM2;float32;110592;12;cw323a.pm;FRAC OF SEA ICE IN SEA AFTER TSTEP;sea_ice_area_fraction
orog;fld_s00i033;;m;time lat lon;mon;land;area: time: mean;;CMIP6_fx;CM2;float32;110592;12;cw323a.pm;OROGRAPHY (/STRAT LOWER BC);surface_altitude
orog;fld_s00i033;;m;time lat lon;mon;land;area: time: mean;;CMIP6_fx;ESM;float32;110592;12;cw323a.pm;OROGRAPHY (/STRAT LOWER BC);surface_altitude
phalf;fld_s00i407;;Pa;time model_rho_level_number lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;9400320;12;cw323a.pm;PRESSURE AT RHO LEVELS AFTER TS;air_pressure
pfull;fld_s00i408;;Pa;time model_theta_level_number lat lon;mon;atmos;area: time: mean;;CM2_mon;CM2;float32;9400320;12;cw323a.pm;PRESSURE AT THETA LEVELS AFTER TS;air_pressure
ps;fld_s00i409;;Pa;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;SURFACE PRESSURE AFTER TIMESTEP;surface_air_pressure
tos;fld_s00i507;;K;time lat lon;mon;ocean;area: time: mean;;CMIP6_Omon;CM2;float32;110592;12;cw323a.pm;OPEN SEA SURFACE TEMP AFTER TIMESTEP;surface_temperature_where_open_sea
rss;fld_s01i201;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Emon;CM2;float32;110592;12;cw323a.pm;NET DOWN SURFACE SW FLUX: SW TS ONLY;surface_net_downward_shortwave_flux
rsdt;fld_s01i207;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;INCOMING SW RAD FLUX (TOA): ALL TSS;toa_incoming_shortwave_flux
rsut;fld_s01i208;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;OUTGOING SW RAD FLUX (TOA);toa_outgoing_shortwave_flux
rsutcs;fld_s01i209;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) UPWARD SW FLUX (TOA);toa_outgoing_shortwave_flux_assuming_clear_sky
rsdscs;fld_s01i210;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) DOWN SURFACE SW FLUX;surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsuscs;fld_s01i211;;W m-2;time lat lon;mon;atmos;area: time: mean;;CMIP6_Amon;CM2;float32;110592;12;cw323a.pm;CLEAR-SKY (II) UP SURFACE SW FLUX;surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
