cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
cli,fld_s00i012,,kg kg-1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,QCF AFTER TIMESTEP,mass_fraction_of_cloud_ice_in_air
clw,fld_s00i254,,kg kg-1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,QCL AFTER TIMESTEP,mass_fraction_of_cloud_liquid_water_in_air
cl,fld_s00i265,,1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,AREA CLOUD FRACTION IN EACH LAYER,cloud_area_fraction_in_atmosphere_layer
clwvol,fld_s00i267,,1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,liquid_cloud_volume_fraction_in_atmosphere_layer,
clivol,fld_s00i268,,1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,ice_cloud_volume_fraction_in_atmosphere_layer,
rainmxrat,fld_s00i272,,kg kg-1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,RAIN AFTER TIMESTEP,mass_fraction_of_rain_in_air
grplmxrat,fld_s00i273,,kg kg-1,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,GRAUPEL AFTER TIMESTEP,mass_fraction_of_graupel_in_air
refl,fld_s04i118,,dBZ,time model_theta_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_cldrad,radar_reflectivity_due_to_all_hydrometeor_species,
ua,fld_s00i002,,m s-1,time model_rho_level_number lat lon,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_mdl,U COMPNT OF WIND AFTER TIMESTEP,eastward_wind
va,fld_s00i003,,m s-1,time model_rho_level_number lat_0 lon_0,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1544088000,384,umnsa_mdl,V COMPNT OF WIND AFTER TIMESTEP,northward_wind
theta,fld_s00i004,,K,time model_theta_level_number lat lon_0,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_mdl,THETA AFTER TIMESTEP,air_potential_temperature
hus,fld_s00i010,,1,time model_theta_level_number lat lon_0,1hrPt,atmos,area: time: point,,AUS2200_A1hr,AUS2200,float32,1543360000,384,umnsa_mdl,SPECIFIC HUMIDITY AFTER TIMESTEP,specific_humidity
