cmip_var,input_vars,calculation,units,dimensions,frequency,realm,cell_methods,positive,cmor_table,version,vtype,size,nsteps,filename,long_name,standard_name
ua,fld_s30i201,,m s-1,time pressure lat_v lon_u,6hrPt,atmos,area: time: point,,CMIP6_6hrLev,CM2,float32,334080,289440,cm000a.p7,U COMPNT OF WIND ON P LEV/UV GRID,eastward_wind
va,fld_s30i202,,m s-1,time pressure lat_v lon_u,6hrPt,atmos,area: time: point,,CMIP6_6hrLev,CM2,float32,334080,289440,cm000a.p7,V COMPNT OF WIND ON P LEV/UV GRID,northward_wind
ta,fld_s30i294,,K,time pressure lat lon,6hrPt,atmos,area: time: point,,CMIP6_6hrLev,CM2,float32,331776,289440,cm000a.p7,TEMPERATURE ON P LEV/T GRID,air_temperature
zg,fld_s30i297,,m,time lat lon,6hrPt,atmos,area: time: point,,,CM2,float32,110592,289440,cm000a.p7,GEOPOTENTIAL HEIGHT ON P LEV/T GRID,geopotential_height
rv850,fld_s30i455,,,time lat_v lon_u,6hrPt,atmos,area: time: point,,CMIP6_6hrPlevPt,CM2,float32,111360,289440,cm000a.p7,VORTICITY 850,
ps,fld_s00i409,,Pa,time lat lon,3hrPt,atmos,area: time: point,,CMIP6_E3hrPt,CM2,float32,110592,578880,cm000a.p8,SURFACE PRESSURE AFTER TIMESTEP,surface_air_pressure
tos,fld_s00i507,,K,time lat lon,3hrPt,ocean,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,OPEN SEA SURFACE TEMP AFTER TIMESTEP,surface_temperature_where_open_sea
rss,fld_s01i201,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,NET DOWN SURFACE SW FLUX: SW TS ONLY,surface_net_downward_shortwave_flux
rsdscs,fld_s01i210,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,CLEAR-SKY (II) DOWN SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air_assuming_clear_sky
rsuscs,fld_s01i211,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,CLEAR-SKY (II) UP SURFACE SW FLUX,surface_upwelling_shortwave_flux_in_air_assuming_clear_sky
rsdsdiff,fld_s01i216,,,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,DIFFUSE SURFACE SW FLUX : CORRECTED,
rsds,fld_s01i235,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL DOWNWARD SURFACE SW FLUX,surface_downwelling_shortwave_flux_in_air
rls,fld_s02i201,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,NET DOWN SURFACE LW RAD FLUX,surface_net_downward_longwave_flux
clt,fld_s02i204,,1,time_0 lat lon,3hr,atmos,area: time: mean,,,CM2,float32,110592,578880,cm000a.p8,TOTAL CLOUD AMOUNT IN LW RADIATION,cloud_area_fraction
rlut,fld_s02i205,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,OUTGOING LW RAD FLUX (TOA),toa_outgoing_longwave_flux
rlds,fld_s02i207,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,DOWNWARD LW RAD FLUX: SURFACE,surface_downwelling_longwave_flux_in_air
uas,fld_s03i209,,m s-1,time lat lon_u,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,10 METRE WIND U-COMP,eastward_wind
vas,fld_s03i210,,m s-1,time lat_v lon,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,111360,578880,cm000a.p8,10 METRE WIND V-COMP,northward_wind
hfss,fld_s03i217,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,SURFACE SENSIBLE HEAT FLUX W/M2,surface_upward_sensible_heat_flux
hfls,fld_s03i234,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,SURFACE LATENT HEAT FLUX W/M2,surface_upward_latent_heat_flux
tas,fld_s03i236,,K,time lat lon,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TEMPERATURE AT 1.5M,air_temperature
huss,fld_s03i237,,1,time lat lon,3hrPt,atmos,area: time: point,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,SPECIFIC HUMIDITY  AT 1.5M,specific_humidity
hurs,fld_s03i245,,%,time lat lon,3hrPt,atmos,area: time: point,,,CM2,float32,110592,578880,cm000a.p8,RELATIVE HUMIDITY AT 1.5M,relative_humidity
rlut,fld_s03i332,,W m-2,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_3hr,CM2,float32,110592,578880,cm000a.p8,TOA OUTGOING LW RAD AFTER B.LAYER,toa_outgoing_longwave_flux
prrc,fld_s05i205,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,CONVECTIVE RAINFALL RATE     KG/M2/S,convective_rainfall_flux
prsnc,fld_s05i206,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,CONVECTIVE SNOWFALL RATE     KG/M2/S,convective_snowfall_flux
prra,fld_s05i214,,kg m-2 s-1,time_0 lat lon,3hr,atmos,area: time: mean,,CMIP6_E3hr,CM2,float32,110592,578880,cm000a.p8,TOTAL RAINFALL RATE: LS+CONV KG/M2/S,rainfall_flux
